feedback_text,label
"The app keeps crashing after the latest update and support did not resolve it.",negative
"Delivery was on time and the packaging was excellent.",positive
"The product is okay, nothing special but it works as expected.",neutral
"Billing was incorrect and it took three calls to get it fixed.",negative
"Customer service was outstanding and answered all my questions.",positive
"Setup was straightforward, although the instructions could be clearer.",neutral
"Very disappointed with the battery life and overall performance.",negative
"Loved the new dashboard, it makes reporting much easier.",positive
"The experience was average and similar to other tools I have used.",neutral
"Refund process was slow and frustrating.",negative
"Great value for money and very intuitive interface.",positive
"The wait time for support was acceptable.",neutral
